"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACCIPITRIFORMES","1","0","1","0","0","1","13","19","26","58","0","31","161","1","252"
"ANSERIFORMES","7","0","7","0","0","7","6","8","14","28","0","15","127","0","177"
"BUCEROTIFORMES","1","0","1","0","0","1","3","5","17","25","0","5","42","0","73"
"CAPRIMULGIFORMES","2","0","2","3","0","5","12","20","25","57","0","40","492","11","602"
"CARIAMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"CATHARTIFORMES","0","0","0","0","0","0","1","0","1","2","0","0","5","0","7"
"CHARADRIIFORMES","7","0","7","3","0","10","11","16","23","50","0","46","279","2","384"
"CICONIIFORMES","0","0","0","0","0","0","0","4","1","5","0","3","12","0","20"
"COLIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6"
"COLUMBIFORMES","16","1","17","0","0","17","13","19","35","67","0","51","234","1","370"
"CORACIIFORMES","0","1","1","0","0","1","4","2","14","20","0","28","138","1","188"
"CUCULIFORMES","2","0","2","0","0","2","2","2","7","11","0","8","132","0","153"
"EURYPYGIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","1","0","2"
"FALCONIFORMES","2","0","2","0","0","2","0","2","6","8","0","7","49","0","66"
"GALLIFORMES","1","1","2","0","0","2","10","18","50","78","0","45","184","0","309"
"GAVIIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","4","0","5"
"GRUIFORMES","24","0","24","0","0","24","8","13","29","50","0","14","103","2","193"
"LEPTOSOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MESITORNITHIFORMES","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3"
"MUSOPHAGIFORMES","0","0","0","0","0","0","0","1","1","2","0","1","21","0","24"
"OPISTHOCOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"OTIDIFORMES","0","0","0","0","0","0","3","1","4","8","0","7","11","0","26"
"PASSERIFORMES","60","1","61","9","0","70","88","212","354","654","0","524","5,393","27","6,659"
"PELECANIFORMES","6","0","6","0","0","6","4","9","6","19","0","9","82","0","116"
"PHAETHONTIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"PHOENICOPTERIFORMES","0","0","0","0","0","0","0","0","1","1","0","3","2","0","6"
"PICIFORMES","1","0","1","1","0","2","3","11","18","32","0","43","408","1","485"
"PODICIPEDIFORMES","3","0","3","0","0","3","1","3","1","5","0","2","13","0","23"
"PROCELLARIIFORMES","2","0","2","2","0","4","16","22","29","67","0","20","56","2","147"
"PSITTACIFORMES","16","1","17","3","0","20","21","35","57","113","0","60","231","0","421"
"PTEROCLIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","16","0","16"
"SPHENISCIFORMES","0","0","0","0","0","0","0","5","4","9","0","3","6","0","18"
"STRIGIFORMES","5","0","5","1","0","6","4","13","28","45","0","26","166","2","244"
"STRUTHIONIFORMES","2","0","2","0","0","2","0","1","10","11","0","7","43","0","63"
"SULIFORMES","1","0","1","0","0","1","2","5","8","15","0","3","35","0","54"
"TROGONIFORMES","0","0","0","0","0","0","0","0","1","1","0","8","34","0","43"
"Total","159","5","164","22","0","186","225","447","773","1,445","0","1,010","8,493","50","11,162"
